issn_l_prefixed,issn_l,title,issns,publisher,subject,subject_top_three,subjects_all,subscribed,is_society_journal,usage,subscription_cost,ill_cost,cpu,cpu_rank,cost,instant_usage_percent,free_instant_usage_percent,subscription_minus_ill_cost,use_oa_percent,use_backfile_percent,use_subscription_percent,use_ill_percent,use_other_delayed_percent,perpetual_access_years_text,baseline_access_text,bronze_oa_embargo_months,downloads,citations,authorships,cpu_fuzzed,subscription_cost_fuzzed,subscription_minus_ill_cost_fuzzed,usage_fuzzed,downloads_fuzzed,citations_fuzzed,authorships_fuzzed
issn:0749-0739,0749-0739,Veterinary Clinics of North America Equine Practice,"['0749-0739', '1558-4224']",Elsevier BV,Medicine,"Biology,Internal medicine,Medicine","[[""C71924100"",""Medicine""], [""C86803240"",""Biology""], [""C15744967"",""Psychology""], [""C41008148"",""Computer science""], [""C127313418"",""Geology""], [""C185592680"",""Chemistry""]]",False,False,2651,683.2,603.2323,0.112096,1.0,603.2323,73.0877,73,80,7,66,0,1,26,2016-2025,,,2637,1.4,0.0,low,low,low,high,high,low,low
issn:0195-5616,0195-5616,Veterinary Clinics of North America Small Animal Practice,"['0195-5616', '1878-1306']",Elsevier BV,Medicine,"Biology,Internal medicine,Medicine","[[""C71924100"",""Medicine""], [""C86803240"",""Biology""], [""C41008148"",""Computer science""], [""C15744967"",""Psychology""], [""C185592680"",""Chemistry""]]",False,False,3102,782.4,683.936,0.115801,2.0,683.936,72.5928,73,98,6,67,0,1,26,2016-2025,,,2936,6.8,1.0,low,low,low,high,high,low,high
issn:0749-0720,0749-0720,Veterinary Clinics of North America Food Animal Practice,"['0749-0720', '1558-4240']",Elsevier BV,Biology,"Biology,Genetics,Medicine","[[""C86803240"",""Biology""], [""C71924100"",""Medicine""], [""C41008148"",""Computer science""], [""C185592680"",""Chemistry""], [""C205649164"",""Geography""]]",False,False,2130,534.6,458.3595,0.119843,3.0,458.3595,70.1305,70,76,7,63,0,1,28,2016-2025,,,1805,13.0,2.0,low,low,low,high,high,medium,high
issn:2212-2672,2212-2672,Journal of the Academy of Nutrition and Dietetics,"['2212-2672', '2212-2680']",Elsevier BV,Medicine,"Biology,Medicine,Psychology","[[""C71924100"",""Medicine""], [""C86803240"",""Biology""], [""C15744967"",""Psychology""], [""C41008148"",""Computer science""], [""C17744445"",""Political science""], [""C144024400"",""Sociology""], [""C162324750"",""Economics""], [""C185592680"",""Chemistry""], [""C144133560"",""Business""], [""C33923547"",""Mathematics""], [""C138885662"",""Philosophy""]]",False,True,1687,965.8,526.512,0.601695,4.0,526.512,56.7136,57,439,15,42,0,2,41,2016-2025,,,1431,7.6,1.8,low,low,low,high,high,medium,high
issn:2214-7810,2214-7810,Additive manufacturing,"['2214-7810', '2214-8604']",Elsevier BV,Materials science,"Composite material,Materials science,Physics","[[""C192562407"",""Materials science""], [""C121332964"",""Physics""], [""C185592680"",""Chemistry""], [""C127413603"",""Engineering""], [""C41008148"",""Computer science""], [""C127313418"",""Geology""], [""C86803240"",""Biology""], [""C33923547"",""Mathematics""], [""C205649164"",""Geography""], [""C71924100"",""Medicine""], [""C138885662"",""Philosophy""]]",False,False,1602,1107.4,568.4142,0.703485,5.0,568.4142,52.1719,52,539,31,21,0,2,45,2016-2025,,,1398,12.4,0.8,low,low,low,high,high,medium,high
issn:0950-0618,0950-0618,Construction & building materials,"['0950-0618', '1879-0526']",,Materials science,"Composite material,Engineering,Materials science","[[""C192562407"",""Materials science""], [""C127413603"",""Engineering""], [""C121332964"",""Physics""], [""C185592680"",""Chemistry""], [""C205649164"",""Geography""], [""C95457728"",""History""], [""C127313418"",""Geology""], [""C86803240"",""Biology""], [""C41008148"",""Computer science""], [""C33923547"",""Mathematics""]]",False,False,6034,5258.4,1611.5035,1.263796,6.0,1611.5035,52.1749,52,3647,15,37,0,2,45,2016-2025,,,3964,149.0,5.8,low,medium,medium,high,high,high,high
issn:0959-6526,0959-6526,Journal of cleaner production,"['0959-6526', '1879-1786']",,Biology,"Biology,Ecology,Engineering","[[""C86803240"",""Biology""], [""C127413603"",""Engineering""], [""C162324750"",""Economics""], [""C39432304"",""Environmental science""], [""C185592680"",""Chemistry""], [""C121332964"",""Physics""], [""C41008148"",""Computer science""], [""C205649164"",""Geography""], [""C144133560"",""Business""], [""C127313418"",""Geology""], [""C17744445"",""Political science""], [""C192562407"",""Materials science""], [""C33923547"",""Mathematics""], [""C95457728"",""History""]]",False,False,4156,4870.4,1354.8362,1.801303,7.0,1354.8362,53.0414,53,3516,17,36,0,2,45,2016-2025,,,3394,54.2,2.2,low,medium,medium,high,high,high,high
issn:1760-2734,1760-2734,Journal of Veterinary Cardiology,"['1760-2734', '1875-0834']",Elsevier BV,Medicine,"Cardiology,Internal medicine,Medicine","[[""C71924100"",""Medicine""], [""C86803240"",""Biology""], [""C41008148"",""Computer science""], [""C15744967"",""Psychology""], [""C121332964"",""Physics""], [""C185592680"",""Chemistry""]]",False,True,984,793.6,235.4607,1.848637,8.0,235.4607,69.3314,69,558,28,41,0,2,29,2016-2025,,,903,2.2,0.6,low,low,low,medium,high,low,medium
issn:1526-6125,1526-6125,Journal of Manufacturing Processes,"['1526-6125', '2212-4616']",Elsevier BV,Materials science,"Composite material,Engineering,Materials science","[[""C192562407"",""Materials science""], [""C127413603"",""Engineering""], [""C121332964"",""Physics""], [""C185592680"",""Chemistry""], [""C41008148"",""Computer science""], [""C33923547"",""Mathematics""], [""C127313418"",""Geology""], [""C86803240"",""Biology""]]",False,True,582,940.0,209.0112,2.32008,9.0,209.0112,45.8921,46,731,21,25,0,3,51,2016-2025,,,454,2.8,1.0,low,low,low,low,low,low,high
issn:1094-9194,1094-9194,Veterinary Clinics of North America Exotic Animal Practice,"['1094-9194', '1558-4232']",Elsevier BV,Medicine,"Biology,Internal medicine,Medicine","[[""C71924100"",""Medicine""], [""C86803240"",""Biology""], [""C15744967"",""Psychology""], [""C41008148"",""Computer science""], [""C127313418"",""Geology""]]",False,False,689,663.4,167.3643,2.454642,10.0,167.3643,70.6501,71,496,4,67,0,1,28,2016-2025,,,671,1.8,0.0,low,low,low,medium,medium,low,low
issn:0737-0806,0737-0806,Journal of Equine Veterinary Science,"['0737-0806', '1542-7412']",Elsevier BV,Biology,"Biology,Genetics,Medicine","[[""C86803240"",""Biology""], [""C71924100"",""Medicine""], [""C185592680"",""Chemistry""], [""C127313418"",""Geology""], [""C41008148"",""Computer science""]]",False,True,872,1242.6,310.0328,2.515814,11.0,310.0328,57.4943,57,933,19,38,0,2,40,2016-2025,,,858,1.4,0.0,low,low,low,medium,medium,low,low
issn:1499-4046,1499-4046,Journal of Nutrition Education and Behavior,"['1499-4046', '1878-2620']",Elsevier BV,Medicine,"Biology,Medicine,Psychology","[[""C71924100"",""Medicine""], [""C15744967"",""Psychology""], [""C86803240"",""Biology""], [""C144024400"",""Sociology""], [""C17744445"",""Political science""], [""C162324750"",""Economics""], [""C41008148"",""Computer science""], [""C33923547"",""Mathematics""], [""C144133560"",""Business""], [""C185592680"",""Chemistry""], [""C138885662"",""Philosophy""], [""C205649164"",""Geography""], [""C95457728"",""History""]]",False,True,695,760.4,147.88,2.530666,12.0,147.88,65.1836,65,613,28,38,0,2,33,2016-2025,,,500,9.6,1.0,low,low,low,medium,medium,medium,high
issn:0278-4319,0278-4319,International Journal of Hospitality Management,"['0278-4319', '1873-4693']",Elsevier BV,Business,"Business,Law,Political science","[[""C144133560"",""Business""], [""C17744445"",""Political science""], [""C162324750"",""Economics""], [""C205649164"",""Geography""], [""C95457728"",""History""], [""C41008148"",""Computer science""], [""C15744967"",""Psychology""], [""C86803240"",""Biology""], [""C33923547"",""Mathematics""], [""C138885662"",""Philosophy""], [""C121332964"",""Physics""], [""C144024400"",""Sociology""], [""C127413603"",""Engineering""]]",False,False,2147,2958.0,578.979,2.668556,13.0,578.979,58.468,58,2379,26,33,0,2,39,2016-2025,,,1640,28.8,2.2,low,low,low,high,high,high,high
issn:0926-2040,0926-2040,Solid State Nuclear Magnetic Resonance,"['0926-2040', '1527-3326']",Elsevier BV,Chemistry,"Chemistry,Physics,Quantum mechanics","[[""C33923547"",""Mathematics""], [""C185592680"",""Chemistry""], [""C121332964"",""Physics""], [""C192562407"",""Materials science""], [""C127413603"",""Engineering""], [""C86803240"",""Biology""], [""C71924100"",""Medicine""], [""C41008148"",""Computer science""]]",False,False,963,1608.6,300.5797,2.956901,14.0,300.5797,54.0453,54,1308,19,35,0,2,44,2016-2025,,,770,10.0,1.0,low,low,low,medium,medium,medium,high
